Index,Price,Currency,Condition,Vehicle_brand,Vehicle_model,Vehicle_version,Vehicle_generation,Production_year,Mileage_km,Power_HP,Displacement_cm3,Fuel_type,CO2_emissions,Drive,Transmission,Type,Doors_number,Colour,Origin_country,First_owner,First_registration_date,Offer_publication_date,Offer_location,Features
10,67000,PLN,Used,Abarth,595,,,2018,38000.0,263.0,1400.0,Gasoline,,Front wheels,Manual,small_cars,3.0,white,Poland,,,25/04/2021,"Gdańsk, Pomorskie, Śródmieście","['ABS', 'Electric front windows', 'Passengers airbag', 'Alarm', 'Bluetooth', 'Electrochromic rear view mirror', 'AUX socket', 'Automatic air conditioning', 'Air curtains', 'Heated side mirrors', 'Daytime running lights', 'Velor upholstery', 'CD', 'Electrically adjustable mirrors', 'Factory radio', 'Alloy wheels', 'Rain sensor', 'Electrochromic side mirrors', 'SD socket', 'Dual zone air conditioning', 'MP3', 'Tinted windows', 'LED lights', 'Central locking', 'Drivers airbag', 'Power steering', 'ASR (traction control)', 'Twilight sensor', 'ESP(stabilization of the track)', 'USB socket', 'On-board computer', 'GPS navigation', 'Adjustable suspension', 'Fog lights']"
11,31900,PLN,Used,Abarth,Grande Punto,,,2010,179000.0,210.0,1368.0,Gasoline,,Front wheels,Manual,city_cars,3.0,white,,,29/04/2010,25/04/2021,"Bielsko-Biała, Śląskie","['ABS', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Bluetooth', 'Dual zone air conditioning', 'Daytime running lights', 'CD', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'ESP(stabilization of the track)', 'MP3', 'Fog lights', 'Central locking', 'Immobilizer', 'Factory radio', 'ASR (traction control)', 'USB socket', 'Tinted windows']"
12,70000,PLN,Used,Abarth,595,,,2017,18470.0,180.0,1400.0,Gasoline,,Front wheels,Manual,small_cars,3.0,black,Germany,,09/11/2017,04/05/2021,"Rzeszów, Podkarpackie","['ABS', 'Immobilizer', 'Factory radio', 'ASR (traction control)', 'Electrochromic rear view mirror', 'USB socket', 'GPS navigation', 'Fog lights', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Bluetooth', 'ESP(stabilization of the track)', 'Automatic air conditioning', 'Tinted windows', 'Xenon lights', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'Rear parking sensors', 'AUX socket', 'On-board computer', 'Daytime running lights', 'Multifunction steering wheel']"
13,38500,PLN,Used,Abarth,500,,,2015,117000.0,140.0,1400.0,Gasoline,,Front wheels,Manual,city_cars,3.0,gray,,Yes,,04/05/2021,"Sulechów, zielonogórski, Lubuskie","['ABS', 'Bluetooth', 'Rain sensor', 'Panoramic roof', 'Electrochromic rear view mirror', 'AUX socket', 'Isofix', 'Manual air conditioning', 'MP3', 'Drivers airbag', 'Tinted windows', 'Sunroof', 'Power steering', 'ASR (traction control)', 'CD', 'Twilight sensor', 'ESP(stabilization of the track)', 'Electric front windows', 'USB socket', 'Automatic air conditioning', 'On-board computer', 'Heated side mirrors', 'Passengers airbag', 'Factory radio', 'Velor upholstery', 'Daytime running lights', 'Alloy wheels', 'Central locking', 'Rear parking sensors', 'Electrochromic side mirrors', 'Electrically adjustable mirrors', 'Immobilizer', 'Dual zone air conditioning', 'Air curtains', 'Airbag protecting the knees', 'Front side airbags', 'Start-Stop system', 'Multifunction steering wheel', 'Fog lights']"
14,41400,PLN,Used,Abarth,500,,,2014,79233.0,135.0,1368.0,Gasoline,,Front wheels,Manual,small_cars,3.0,red,Poland,,18/05/2015,04/05/2021,"Koszalin, Zachodniopomorskie","['ABS', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Bluetooth', 'Electrochromic rear view mirror', 'Isofix', 'Air curtains', 'Airbag protecting the knees', 'Tinted windows', 'Velor upholstery', 'CD', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'Twilight sensor', 'ESP(stabilization of the track)', 'Automatic air conditioning', 'MP3', 'Front side airbags', 'Daytime running lights', 'Multifunction steering wheel', 'Central locking', 'Immobilizer', 'Factory radio', 'ASR (traction control)', 'Rear parking sensors', 'AUX socket', 'On-board computer', 'GPS navigation', 'Rear side airbags', 'Fog lights']"
15,36000,PLN,Used,Abarth,Other,,,2012,82000.0,180.0,1400.0,Gasoline,,Front wheels,Manual,city_cars,3.0,black,Poland,,27/04/2012,23/04/2021,"Zgorzelec, zgorzelecki, Dolnośląskie","['ABS', 'Electric front windows', 'Power steering', 'Bluetooth', 'Electrochromic rear view mirror', 'USB socket', 'Air curtains', 'Tinted windows', 'Multifunction steering wheel', 'CD', 'Immobilizer', 'Alloy wheels', 'Rain sensor', 'ESP(stabilization of the track)', 'Automatic air conditioning', 'MP3', 'Fog lights', 'Central locking', 'Factory radio', 'ASR (traction control)', 'Electrochromic side mirrors', 'AUX socket', 'On-board computer', 'Heated side mirrors', 'Velor upholstery']"
16,80900,PLN,New,Abarth,595,,,2020,1.0,145.0,1400.0,Gasoline,,Front wheels,Manual,small_cars,3.0,red,,,,29/04/2021,"ul. Jubilerska 6 - 04-190 Warszawa, Mazowieckie (Polska)",[]
17,127921,PLN,New,Abarth,595,,,2021,3.0,180.0,1398.0,Gasoline,,Front wheels,Manual,small_cars,3.0,blue,,,,29/04/2021,"ul. Karkonoska 45 - 53-015 Wrocław, Dolnośląskie (Polska)","['ABS', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'Rain sensor', 'ESP(stabilization of the track)', 'Automatic air conditioning', 'Front side airbags', 'Fog lights', 'Multifunction steering wheel', 'Central locking', 'Immobilizer', 'Factory radio', 'ASR (traction control)', 'Twilight sensor', 'USB socket', 'On-board computer', 'Tinted windows', 'Xenon lights', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Bluetooth', 'Rear parking sensors', 'Isofix', 'Air curtains', 'Daytime running lights', 'Velor upholstery']"
18,70900,PLN,Used,Abarth,595,,,2019,11000.0,145.0,1368.0,Gasoline,154.0,Front wheels,Manual,small_cars,2.0,yellow,Poland,Yes,,04/05/2021,"Lublin, Lubelskie","['ABS', 'Electric front windows', 'Drivers airbag', 'Power steering', 'ASR (traction control)', 'On-board computer', 'Daytime running lights', 'CD', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alarm', 'ESP(stabilization of the track)', 'Heated side mirrors', 'LED lights', 'Central locking', 'Immobilizer', 'Factory radio', 'Alloy wheels', 'Automatic air conditioning', 'Tinted windows']"
19,22900,PLN,Used,Abarth,Grande Punto,,,2009,182000.0,180.0,1368.0,Gasoline,,Front wheels,Manual,city_cars,3.0,white,Germany,,29/05/2009,04/05/2021,"Jarocin, jarociński, Wielkopolskie","['ABS', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Bluetooth', 'USB socket', 'On-board computer', 'GPS navigation', 'Front side airbags', 'Fog lights', 'CD', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'Electrochromic side mirrors', 'Isofix', 'Air curtains', 'Heated side mirrors', 'Rear side airbags', 'Velor upholstery', 'Central locking', 'Immobilizer', 'Factory radio', 'ASR (traction control)', 'ESP(stabilization of the track)', 'Manual air conditioning', 'MP3', 'Airbag protecting the knees', 'Tinted windows', 'Multifunction steering wheel']"
20,75500,PLN,Used,Abarth,595,,,2019,6500.0,180.0,1368.0,Gasoline,171.0,Front wheels,Manual,city_cars,3.0,black,Germany,,,02/05/2021,"Kluczewo, szamotulski, Wielkopolskie","['ABS', 'Electric front windows', 'Drivers airbag', 'Power steering', 'ASR (traction control)', 'Twilight sensor', 'Panoramic roof', 'ESP(stabilization of the track)', 'USB socket', 'MP3', 'Daytime running lights', 'CD', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alarm', 'Bluetooth', 'Front parking sensors', 'Electrochromic side mirrors', 'AUX socket', 'Automatic air conditioning', 'GPS navigation', 'Xenon lights', 'Central locking', 'Immobilizer', 'Factory radio', 'Alloy wheels', 'Rain sensor', 'Rear parking sensors', 'Electrochromic rear view mirror', 'SD socket', 'On-board computer', 'Sunroof', 'Multifunction steering wheel']"
21,92000,PLN,Used,Abarth,124,1.4 MultiAir,,2016,7200.0,170.0,1368.0,Gasoline,,Rear wheels,Manual,convertible,2.0,black,,Yes,,30/04/2021,"Otwock, otwocki, Mazowieckie","['ABS', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alarm', 'Bluetooth', 'Electrochromic side mirrors', 'ESP(stabilization of the track)', 'Rear view camera', 'GPS navigation', 'Fog lights', 'Multifunction steering wheel', 'Central locking', 'Immobilizer', 'Factory radio', 'Alloy wheels', 'Rain sensor', 'Electrochromic rear view mirror', 'AUX socket', 'Automatic air conditioning', 'Heated front seats', 'Leather upholstery', 'Electric front windows', 'Drivers airbag', 'Power steering', 'ASR (traction control)', 'Twilight sensor', 'Electrically adjustable seats', 'USB socket', 'On-board computer', 'Daytime running lights', 'Cruise control']"
22,69000,PLN,Used,Abarth,595,,,2018,22000.0,160.0,1368.0,Gasoline,,Front wheels,Manual,city_cars,3.0,blue,,Yes,,27/04/2021,"Stargard Szczeciński, stargardzki, Zachodniopomorskie","['ABS', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alarm', 'Parking assistant', 'Twilight sensor', 'AUX socket', 'Isofix', 'Air curtains', 'Speed limiter', 'Front side airbags', 'Daytime running lights', 'Leather upholstery', 'Central locking', 'Immobilizer', 'Factory radio', 'Alloy wheels', 'Bluetooth', 'Rear parking sensors', 'SD socket', 'Manual air conditioning', 'MP3', 'Heated windscreen', 'Rear side airbags', 'LED lights', 'Velor upholstery', 'Electric front windows', 'Drivers airbag', 'Power steering', 'ASR (traction control)', 'Rain sensor', 'ESP(stabilization of the track)', 'USB socket', 'On-board computer', 'GPS navigation', 'Heated side mirrors', 'Tinted windows', 'Fog lights', 'Multifunction steering wheel']"
23,54200,PLN,Used,Abarth,595,,,2013,22000.0,135.0,1368.0,Gasoline,,Front wheels,Manual,small_cars,2.0,white,Poland,,,01/05/2021,"Łopuszańska 12a - 02-220 Warszawa, Włochy (Polska)","['ABS', 'Electric front windows', 'Drivers airbag', 'Power steering', 'ASR (traction control)', 'Rear parking sensors', 'ESP(stabilization of the track)', 'Manual air conditioning', 'Heated side mirrors', 'Daytime running lights', 'Leather upholstery', 'CD', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alarm', 'Bluetooth', 'Electrochromic rear view mirror', 'AUX socket', 'On-board computer', 'Front side airbags', 'Fog lights', 'Multifunction steering wheel', 'Central locking', 'Immobilizer', 'Factory radio', 'Alloy wheels', 'Rain sensor', 'Electric rear windows', 'Automatic air conditioning', 'Air curtains', 'Tinted windows', 'Xenon lights']"
24,42900,PLN,Used,Abarth,595,,,2019,113000.0,140.0,1400.0,Gasoline,,Front wheels,Manual,small_cars,3.0,gray,France,Yes,01/07/2019,29/04/2021,"Kielce, Świętokrzyskie","['ABS', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Bluetooth', 'Panoramic roof', 'Isofix', 'On-board computer', 'Heated side mirrors', 'Cruise control', 'CD', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'Rain sensor', 'AUX socket', 'Automatic air conditioning', 'Air curtains', 'Tinted windows', 'Central locking', 'Immobilizer', 'Factory radio', 'ASR (traction control)', 'Twilight sensor', 'USB socket', 'Dual zone air conditioning', 'MP3', 'Daytime running lights']"
25,40900,PLN,Used,Abarth,595,,,2011,111000.0,140.0,1368.0,Gasoline,,Front wheels,Manual,convertible,2.0,white,,,13/09/2011,26/04/2021,"Starowiejska  - 32-608 Osiek, oświęcimski, Małopolskie (Polska)","['ABS', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Electrochromic rear view mirror', 'On-board computer', 'Tinted windows', 'Leather upholstery', 'CD', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'ESP(stabilization of the track)', 'Air curtains', 'Fog lights', 'Multifunction steering wheel', 'Central locking', 'Immobilizer', 'Factory radio', 'ASR (traction control)', 'Manual air conditioning', 'Heated side mirrors', 'Xenon lights']"
26,79990,PLN,Used,Abarth,595,,,2021,100.0,145.0,1368.0,Gasoline,,Front wheels,Manual,compact,3.0,blue,,,30/03/2021,04/05/2021,"ul. Krasnobrodzka 5, 03-214 - 03-214 Warszawa, Targówek (Polska)","['Airbag protecting the knees', 'Air curtains', 'Central locking', 'ESP(stabilization of the track)', 'Electrochromic side mirrors', 'USB socket', 'Power steering', 'Multifunction steering wheel', 'Drivers airbag', 'ABS', 'Electrically adjustable mirrors', 'Immobilizer', 'Isofix', 'Heated side mirrors', 'ASR (traction control)', 'Front side airbags', 'Alloy wheels', 'Electric front windows', 'Manual air conditioning', 'On-board computer', 'Factory radio', 'Bluetooth']"
27,86990,PLN,New,Abarth,595,,,2021,,145.0,1368.0,Gasoline,,Front wheels,Manual,compact,3.0,white,,,,03/05/2021,"ul. Krasnobrodzka 5, 03-214 - 03-214 Warszawa, Targówek (Polska)","['Airbag protecting the knees', 'Front side airbags', 'Air curtains', 'Central locking', 'Rear parking sensors', 'ESP(stabilization of the track)', 'Electrochromic side mirrors', 'USB socket', 'Power steering', 'Multifunction steering wheel', 'Passengers airbag', 'Daytime running lights', 'ABS', 'Rain sensor', 'Electrically adjustable mirrors', 'Immobilizer', 'Isofix', 'Heated side mirrors', 'ASR (traction control)', 'Drivers airbag', 'Tinted windows', 'Alloy wheels', 'Twilight sensor', 'Electric front windows', 'Automatic air conditioning', 'On-board computer', 'Factory radio', 'Bluetooth']"
28,119990,PLN,New,Abarth,595,,,2020,,180.0,1368.0,Gasoline,,Front wheels,Manual,compact,3.0,red,,,,02/05/2021,"ul. Krasnobrodzka 5, 03-214 - 03-214 Warszawa, Targówek (Polska)","['Airbag protecting the knees', 'Tinted windows', 'ABS', 'Rain sensor', 'Electrically adjustable mirrors', 'Immobilizer', 'Electrochromic side mirrors', 'Xenon lights', 'Factory radio', 'Power steering', 'Multifunction steering wheel', 'Drivers airbag', 'Air curtains', 'Alloy wheels', 'Twilight sensor', 'Electric front windows', 'Automatic air conditioning', 'Isofix', 'USB socket', 'Fog lights', 'ASR (traction control)', 'Front side airbags', 'Shift paddles', 'Central locking', 'Rear parking sensors', 'ESP(stabilization of the track)', 'Electrochromic rear view mirror', 'On-board computer', 'Heated side mirrors', 'Leather upholstery', 'Bluetooth']"
29,98900,PLN,New,Abarth,595,,,2021,,165.0,1368.0,Gasoline,,Front wheels,Manual,compact,3.0,white,,,,30/04/2021,"ul. Krasnobrodzka 5, 03-214 - 03-214 Warszawa, Targówek (Polska)","['Airbag protecting the knees', 'Front side airbags', 'GPS navigation', 'Alloy wheels', 'Twilight sensor', 'Electric front windows', 'Manual air conditioning', 'Isofix', 'USB socket', 'Fog lights', 'ASR (traction control)', 'Passengers airbag', 'Daytime running lights', 'Air curtains', 'Central locking', 'Rear parking sensors', 'ESP(stabilization of the track)', 'Automatic air conditioning', 'On-board computer', 'Heated side mirrors', 'Leather upholstery', 'Bluetooth', 'Drivers airbag', 'Tinted windows', 'ABS', 'Rain sensor', 'Electrically adjustable mirrors', 'Immobilizer', 'Electrochromic side mirrors', 'Xenon lights', 'Factory radio', 'Power steering', 'Multifunction steering wheel']"
30,92500,PLN,New,Abarth,595,,,2021,1.0,145.0,1398.0,Gasoline,,Front wheels,Manual,small_cars,3.0,white,,,,03/05/2021,"ul. Gorzysława 9 - 61-057 Poznań, Nowe Miasto (Polska)","['ABS', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'Rain sensor', 'ESP(stabilization of the track)', 'Automatic air conditioning', 'Heated side mirrors', 'Start-Stop system', 'Xenon lights', 'Central locking', 'Immobilizer', 'Factory radio', 'ASR (traction control)', 'Twilight sensor', 'USB socket', 'On-board computer', 'Airbag protecting the knees', 'Daytime running lights', 'Multifunction steering wheel', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Bluetooth', 'Rear parking sensors', 'Isofix', 'Air curtains', 'Front side airbags', 'Fog lights']"
31,104999,PLN,Used,Abarth,124,1.4 MultiAir Scorpione,,2018,20000.0,170.0,1368.0,Gasoline,,,Manual,convertible,2.0,black,,,,27/04/2021,"Elbląg, Warmińsko-mazurskie","['Electric front windows', 'Passengers airbag', 'Alloy wheels', 'Blind spot sensor', 'Start-Stop system', 'Electrically adjustable mirrors', 'Factory radio', 'Bluetooth', 'Rear view camera', 'Cruise control', 'Drivers airbag', 'Power steering', 'Rain sensor', 'Heated front seats', 'Multifunction steering wheel']"
32,50000,PLN,Used,Abarth,Grande Punto,,,2014,150100.0,180.0,1368.0,Gasoline,142.0,Front wheels,Manual,city_cars,3.0,red,,,10/04/2014,26/04/2021,"Katowice, Śląskie, Kostuchna","['ABS', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Bluetooth', 'ESP(stabilization of the track)', 'Isofix', 'On-board computer', 'Speed limiter', 'Start-Stop system', 'Fog lights', 'CD', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'Rain sensor', 'AUX socket', 'Automatic air conditioning', 'Air curtains', 'Heated side mirrors', 'Daytime running lights', 'Cruise control', 'Central locking', 'Immobilizer', 'Factory radio', 'ASR (traction control)', 'Electrochromic rear view mirror', 'USB socket', 'Dual zone air conditioning', 'MP3', 'Tinted windows', 'LED lights', 'Multifunction steering wheel']"
33,45900,PLN,Used,Abarth,500,,,2011,110000.0,140.0,1368.0,Gasoline,,Front wheels,Automatic,small_cars,3.0,gray,,,04/02/2011,30/04/2021,"Ojcowska 2 - 02-918 Warszawa, Mokotów (Polska)","['ABS', 'Electric front windows', 'Power steering', 'Bluetooth', 'Isofix', 'Shift paddles', 'Fog lights', 'CD', 'Immobilizer', 'Alarm', 'Rear parking sensors', 'Automatic air conditioning', 'MP3', 'Multifunction steering wheel', 'Central locking', 'Drivers airbag', 'Alloy wheels', 'ESP(stabilization of the track)', 'Dual zone air conditioning', 'Heated side mirrors']"
34,69900,PLN,Used,Abarth,500,595 1.4 T-Jet 16v Elaborabile,,2018,19000.0,145.0,1368.0,Gasoline,139.0,Front wheels,Manual,small_cars,3.0,white,,,,04/05/2021,"ul.Janowiecka 19 - 62-100 Wągrowiec, wągrowiecki, Wielkopolskie (Polska)","['ABS', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'Rear parking sensors', 'USB socket', 'On-board computer', 'GPS navigation', 'Daytime running lights', 'Multifunction steering wheel', 'Central locking', 'Immobilizer', 'Factory radio', 'ASR (traction control)', 'Panoramic roof', 'Isofix', 'Air curtains', 'Front side airbags', 'LED lights', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Bluetooth', 'AUX socket', 'Automatic air conditioning', 'MP3', 'Tinted windows', 'Fog lights']"
35,69500,PLN,Used,Abarth,595,,,2017,16400.0,160.0,1368.0,Gasoline,139.0,Front wheels,Manual,small_cars,3.0,gray,Poland,Yes,,26/04/2021,"Warszawa, Mazowieckie, Mokotów","['ABS', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alarm', 'Bluetooth', 'Manual air conditioning', 'MP3', 'Fog lights', 'Central locking', 'Immobilizer', 'Factory radio', 'Alloy wheels', 'Rear parking sensors', 'On-board computer', 'Daytime running lights', 'Velor upholstery', 'Electric front windows', 'Drivers airbag', 'Power steering', 'ASR (traction control)', 'USB socket', 'Air curtains', 'LED lights', 'Multifunction steering wheel']"
36,16800,PLN,Used,Abarth,595,,,2013,94009.0,160.0,1386.0,Gasoline,98.0,Front wheels,Automatic,city_cars,2.0,other,France,,,03/05/2021,"KRÓTKA 8 - 63-112 Brodnica, śremski, Wielkopolskie (Polska)",[]
37,80444,PLN,Used,Abarth,595,,,2020,3500.0,145.0,1368.0,Gasoline,,Front wheels,Manual,small_cars,3.0,blue,Poland,Yes,28/01/2021,26/04/2021,"Szczecin, Zachodniopomorskie, Północ","['ABS', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'Rain sensor', 'Electrochromic rear view mirror', 'Isofix', 'Air curtains', 'Tinted windows', 'Fog lights', 'Central locking', 'Immobilizer', 'Factory radio', 'ASR (traction control)', 'Twilight sensor', 'ESP(stabilization of the track)', 'Manual air conditioning', 'Airbag protecting the knees', 'Daytime running lights', 'Multifunction steering wheel', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Bluetooth', 'Rear parking sensors', 'USB socket', 'On-board computer', 'Front side airbags', 'LED lights']"
38,84300,PLN,New,Abarth,595,,,2021,500.0,145.0,1400.0,Gasoline,,Front wheels,Manual,small_cars,3.0,red,,,13/04/2021,03/05/2021,"ul. Jubilerska 6 - 04-190 Warszawa, Mazowieckie (Polska)",[]
39,88700,PLN,New,Abarth,595,,,2021,1.0,145.0,1368.0,Gasoline,,,Manual,small_cars,3.0,red,,,,01/05/2021,"ul. Gorzysława 9 - 61-057 Poznań, Nowe Miasto (Polska)","['ABS', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'Twilight sensor', 'USB socket', 'On-board computer', 'Front side airbags', 'Fog lights', 'Central locking', 'Immobilizer', 'Factory radio', 'Bluetooth', 'Rear parking sensors', 'Isofix', 'Air curtains', 'Start-Stop system', 'Multifunction steering wheel', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Rain sensor', 'ESP(stabilization of the track)', 'Automatic air conditioning', 'Heated side mirrors', 'Daytime running lights']"
